date,time,venue,home,away,score,status
2026-06-08,6:00 pm,Memorial Park Northwest - MPN#3,XCEL #2,MILLCITY,TBD,Upcoming
2026-06-08,7:00 pm,Memorial Park Northwest - MPN#3,XCEL #2,Shepherd of the Hills,TBD,Upcoming
2026-06-08,8:00 pm,Memorial Park Northwest - MPN#3,River Valley,Shepherd of the Hills,TBD,Upcoming
2026-06-08,9:00 pm,Memorial Park Northwest - MPN#3,River Valley,Appleton Gospel Church,TBD,Upcoming
2026-06-08,6:00 pm,Memorial Park South - MPS#2,Bennett and the Jets,Sounds of Thunder,TBD,Upcoming
2026-06-08,7:00 pm,Memorial Park South - MPS#2,Brothers In Christ,VALLEY HARVEST,TBD,Upcoming
2026-06-08,6:00 pm,Memorial Park East - MPE#1,Community Bible,Community Bible #2,TBD,Upcoming
2026-06-08,7:00 pm,Memorial Park East - MPE#1,Community Bible,Calvary 3,TBD,Upcoming
2026-06-08,6:00 pm,Jefferson Park Menasha - JPM#1,Christ the Rock,Calvary Bible #1,TBD,Upcoming
2026-06-08,7:00 pm,Jefferson Park Menasha - JPM#1,Christ the Rock,ATC,TBD,Upcoming
2026-06-08,8:00 pm,Jefferson Park Menasha - JPM#1,FREEDOM FELLOWSHIP,ATC,TBD,Upcoming
2026-06-08,9:00 pm,Jefferson Park Menasha - JPM#1,FREEDOM FELLOWSHIP,Mason Street,TBD,Upcoming
2026-06-15,6:00 pm,Memorial Park Northwest - MPN#3,FREEDOM FELLOWSHIP,River Valley,TBD,Upcoming
2026-06-15,7:00 pm,Memorial Park Northwest - MPN#3,FREEDOM FELLOWSHIP,Community Bible,TBD,Upcoming
2026-06-15,8:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,Community Bible,TBD,Upcoming
2026-06-15,9:00 pm,Memorial Park Northwest - MPN#3,VALLEY HARVEST,Calvary Bible #1,TBD,Upcoming
2026-06-15,6:00 pm,Memorial Park South - MPS#2,Calvary 3,Mason Street,TBD,Upcoming
2026-06-15,7:00 pm,Memorial Park South - MPS#2,Calvary 3,Shepherd of the Hills,TBD,Upcoming
2026-06-15,6:00 pm,Memorial Park East - MPE#1,Brothers In Christ,XCEL #2,TBD,Upcoming
2026-06-15,7:00 pm,Memorial Park East - MPE#1,Brothers In Christ,Appleton Gospel Church,TBD,Upcoming
2026-06-15,6:00 pm,Jefferson Park Menasha - JPM#1,ATC,MILLCITY,TBD,Upcoming
2026-06-15,7:00 pm,Jefferson Park Menasha - JPM#1,Bennett and the Jets,MILLCITY,TBD,Upcoming
2026-06-15,8:00 pm,Jefferson Park Menasha - JPM#1,Bennett and the Jets,Community Bible #2,TBD,Upcoming
2026-06-15,9:00 pm,Jefferson Park Menasha - JPM#1,Sounds of Thunder,Community Bible #2,TBD,Upcoming
2026-06-22,6:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,River Valley,TBD,Upcoming
2026-06-22,7:00 pm,Memorial Park Northwest - MPN#3,Christ the Rock,Brothers In Christ,TBD,Upcoming
2026-06-22,8:00 pm,Memorial Park Northwest - MPN#3,Shepherd of the Hills,Brothers In Christ,TBD,Upcoming
2026-06-22,9:00 pm,Memorial Park Northwest - MPN#3,Shepherd of the Hills,FREEDOM FELLOWSHIP,TBD,Upcoming
2026-06-22,6:00 pm,Memorial Park South - MPS#2,VALLEY HARVEST,Appleton Gospel Church,TBD,Upcoming
2026-06-22,7:00 pm,Memorial Park South - MPS#2,VALLEY HARVEST,MILLCITY,TBD,Upcoming
2026-06-22,6:00 pm,Memorial Park East - MPE#1,Calvary 3,Community Bible #2,TBD,Upcoming
2026-06-22,7:00 pm,Memorial Park East - MPE#1,Bennett and the Jets,ATC,TBD,Upcoming
2026-06-22,6:00 pm,Jefferson Park Menasha - JPM#1,XCEL #2,Community Bible,TBD,Upcoming
2026-06-22,7:00 pm,Jefferson Park Menasha - JPM#1,XCEL #2,Sounds of Thunder,TBD,Upcoming
2026-06-22,8:00 pm,Jefferson Park Menasha - JPM#1,Calvary Bible #1,Sounds of Thunder,TBD,Upcoming
2026-06-22,9:00 pm,Jefferson Park Menasha - JPM#1,Calvary Bible #1,Mason Street,TBD,Upcoming
2026-06-29,6:00 pm,Memorial Park Northwest - MPN#3,Mason Street,Bennett and the Jets,TBD,Upcoming
2026-06-29,7:00 pm,Memorial Park Northwest - MPN#3,Mason Street,Community Bible #2,TBD,Upcoming
2026-06-29,8:00 pm,Memorial Park Northwest - MPN#3,ATC,Community Bible #2,TBD,Upcoming
2026-06-29,9:00 pm,Memorial Park Northwest - MPN#3,ATC,Sounds of Thunder,TBD,Upcoming
2026-06-29,6:00 pm,Memorial Park South - MPS#2,MILLCITY,Calvary 3,TBD,Upcoming
2026-06-29,7:00 pm,Memorial Park South - MPS#2,MILLCITY,Community Bible,TBD,Upcoming
2026-06-29,6:00 pm,Memorial Park East - MPE#1,VALLEY HARVEST,River Valley,TBD,Upcoming
2026-06-29,7:00 pm,Memorial Park East - MPE#1,VALLEY HARVEST,XCEL #2,TBD,Upcoming
2026-06-29,6:00 pm,Jefferson Park Menasha - JPM#1,Appleton Gospel Church,FREEDOM FELLOWSHIP,TBD,Upcoming
2026-06-29,7:00 pm,Jefferson Park Menasha - JPM#1,Appleton Gospel Church,Calvary Bible #1,TBD,Upcoming
2026-06-29,8:00 pm,Jefferson Park Menasha - JPM#1,Shepherd of the Hills,Calvary Bible #1,TBD,Upcoming
2026-06-29,9:00 pm,Jefferson Park Menasha - JPM#1,Shepherd of the Hills,Christ the Rock,TBD,Upcoming
2026-07-06,6:00 pm,Memorial Park Northwest - MPN#3,VALLEY HARVEST,Community Bible #2,TBD,Upcoming
2026-07-06,7:00 pm,Memorial Park Northwest - MPN#3,Brothers In Christ,Calvary Bible #1,TBD,Upcoming
2026-07-06,8:00 pm,Memorial Park Northwest - MPN#3,Brothers In Christ,Calvary 3,TBD,Upcoming
2026-07-06,9:00 pm,Memorial Park Northwest - MPN#3,River Valley,Calvary 3,TBD,Upcoming
2026-07-06,6:00 pm,Memorial Park South - MPS#2,Sounds of Thunder,FREEDOM FELLOWSHIP,TBD,Upcoming
2026-07-06,7:00 pm,Memorial Park South - MPS#2,Sounds of Thunder,Christ the Rock,TBD,Upcoming
2026-07-06,6:00 pm,Memorial Park East - MPE#1,Mason Street,ATC,TBD,Upcoming
2026-07-06,7:00 pm,Memorial Park East - MPE#1,Mason Street,XCEL #2,TBD,Upcoming
2026-07-06,6:00 pm,Jefferson Park Menasha - JPM#1,MILLCITY,Shepherd of the Hills,TBD,Upcoming
2026-07-06,7:00 pm,Jefferson Park Menasha - JPM#1,MILLCITY,Appleton Gospel Church,TBD,Upcoming
2026-07-06,8:00 pm,Jefferson Park Menasha - JPM#1,Bennett and the Jets,Appleton Gospel Church,TBD,Upcoming
2026-07-06,9:00 pm,Jefferson Park Menasha - JPM#1,Bennett and the Jets,Community Bible,TBD,Upcoming
2026-07-13,6:00 pm,Memorial Park Northwest - MPN#3,Calvary 3,Sounds of Thunder,TBD,Upcoming
2026-07-13,7:00 pm,Memorial Park Northwest - MPN#3,Brothers In Christ,Sounds of Thunder,TBD,Upcoming
2026-07-13,8:00 pm,Memorial Park Northwest - MPN#3,Brothers In Christ,Community Bible,TBD,Upcoming
2026-07-13,9:00 pm,Memorial Park Northwest - MPN#3,VALLEY HARVEST,Shepherd of the Hills,TBD,Upcoming
2026-07-13,6:00 pm,Memorial Park South - MPS#2,River Valley,Calvary Bible #1,TBD,Upcoming
2026-07-13,7:00 pm,Memorial Park South - MPS#2,River Valley,Mason Street,TBD,Upcoming
2026-07-13,6:00 pm,Memorial Park East - MPE#1,MILLCITY,Christ the Rock,TBD,Upcoming
2026-07-13,7:00 pm,Memorial Park East - MPE#1,Community Bible #2,FREEDOM FELLOWSHIP,TBD,Upcoming
2026-07-13,6:00 pm,Jefferson Park Menasha - JPM#1,Bennett and the Jets,XCEL #2,TBD,Upcoming
2026-07-13,7:00 pm,Jefferson Park Menasha - JPM#1,ATC,XCEL #2,TBD,Upcoming
2026-07-13,8:00 pm,Jefferson Park Menasha - JPM#1,ATC,Appleton Gospel Church,TBD,Upcoming
2026-07-13,9:00 pm,Jefferson Park Menasha - JPM#1,FREEDOM FELLOWSHIP,Mason Street,TBD,Upcoming
